"","description"
"2.1.1.22","Carnosine N-methyltransferase"
"2.1.1.220","tRNA (adenine(58)-N(1))-methyltransferase"
"2.1.1.222","2-polyprenyl-6-hydroxyphenol methylase"
"2.1.1.223","tRNA(1)(Val) (adenine(37)-N(6))-methyltransferase"
"2.1.1.224","23S rRNA (adenine(2503)-C(8))-methyltransferase"
"2.1.1.226","23S rRNA (cytidine(1920)-2'-O)-methyltransferase"
"2.1.1.227","16S rRNA (cytidine(1409)-2'-O)-methyltransferase"
"2.1.1.228","tRNA (guanine(37)-N(1))-methyltransferase"
"2.1.1.229","tRNA (carboxymethyluridine(34)-5-O)-methyltransferase"
"2.1.1.230","23S rRNA (adenosine(1067)-2'-O)-methyltransferase"
"2.1.1.235","dTDP-3-amino-3,6-dideoxy-alpha-D-glucopyranose N,N-dimethyltransferase"
"2.1.1.242","16S rRNA (guanine(1516)-N(2))-methyltransferase"
"2.1.1.243","2-ketoarginine methyltransferase"
"2.1.1.245","Co-methyltransferase"
"2.1.1.246","methyltransferase"
"2.1.1.247","methyltransferase"
"2.1.1.248","[Methylamine--corrinoid protein] Co-methyltransferase"
"2.1.1.249","[Dimethylamine--corrinoid protein] Co-methyltransferase"
"2.1.1.250","[Trimethylamine--corrinoid protein] Co-methyltransferase"
"2.1.1.251","Methylated-thiol--coenzyme M methyltransferase"
"2.1.1.254","Erythromycin 3''-O-methyltransferase"
"2.1.1.255","Geranyl diphosphate 2-C-methyltransferase"
"2.1.1.256","tRNA (guanine(6)-N(2))-methyltransferase"
"2.1.1.257","tRNA (pseudouridine(54)-N(1))-methyltransferase"
"2.1.1.258","Co-methyltransferase"
"2.1.1.260","rRNA small subunit pseudouridine methyltransferase Nep1"
"2.1.1.264","23S rRNA (guanine(2069)-N(7))-methyltransferase"
"2.1.1.265","Tellurite methyltransferase"
"2.1.1.266","23S rRNA (adenine(2030)-N(6))-methyltransferase"
"2.1.1.269","Dimethylsulfoniopropionate demethylase"
"2.1.1.271","Cobalt-precorrin-4 methyltransferase"
"2.1.1.272","Cobalt-factor III methyltransferase"
"2.1.1.281","Phenylpyruvate C(3)-methyltransferase"
"2.1.1.282","methyltransferase"
"2.1.1.288","Aklanonic acid methyltransferase"
"2.1.1.289","Cobalt-precorrin-7 (C(5))-methyltransferase"
"2.1.1.294","3-phospho-methyltransferase"
"2.1.1.295","2-methyl-6-phytyl-1,4-hydroquinone methyltransferase"
"2.1.1.297","Peptide chain release factor N(5)-glutamine methyltransferase"
"2.1.1.298","Ribosomal protein L3 N(5)-glutamine methyltransferase"
"2.1.1.301","Cypemycin N-terminal methyltransferase"
"2.1.1.302","3-hydroxy-5-methyl-1-naphthoate 3-O-methyltransferase"
"2.1.1.303","2,7-dihydroxy-5-methyl-1-naphthoate 7-O-methyltransferase"
"2.1.1.304","L-tyrosine C(3)-methyltransferase"
"2.1.1.307","methyltransferase"
"2.1.1.309","18S rRNA (guanine(1575)-N(7))-methyltransferase"
"2.1.1.313","25S rRNA (uracil(2634)-N(3))-methyltransferase"
"2.1.1.315","27-O-demethylrifamycin SV methyltransferase"
"2.1.1.317","Sphingolipid C(9)-methyltransferase"
"2.1.1.319","Type I protein arginine methyltransferase"
"2.1.1.320","Type II protein arginine methyltransferase"
"2.1.1.324","dTDP-4-amino-2,3,4,6-tetradeoxy-D-glucose N,N-dimethyltransferase"
"2.1.1.33","tRNA (guanine(46)-N(7))-methyltransferase"
"2.1.1.331","Bacteriochlorophyllide d C-12(1)-methyltransferase"
"2.1.1.332","Bacteriochlorophyllide d C-8(2)-methyltransferase"
"2.1.1.333","Bacteriochlorophyllide d C-20 methyltransferase"
"2.1.1.334","Methanethiol S-methyltransferase"
"2.1.1.34","tRNA (guanosine(18)-2'-O)-methyltransferase"
"2.1.1.341","Vanillate/3-O-methylgallate O-demethylase"
"2.1.1.342","Anaerobilin synthase"
"2.1.1.343","8-amino-8-demethylriboflavin N,N-dimethyltransferase"
"2.1.1.344","Ornithine lipid N-methyltransferase"
"2.1.1.35","tRNA (uracil(54)-C(5))-methyltransferase"
"2.1.1.37","DNA (cytosine-5-)-methyltransferase"
"2.1.1.4","Acetylserotonin O-methyltransferase"
"2.1.1.41","Sterol 24-C-methyltransferase"
"2.1.1.43","Transferred entry 2.1.1.354"
"2.1.1.44","L-histidine N(alpha)-methyltransferase"
"2.1.1.45","Thymidylate synthase"
"2.1.1.49","Amine N-methyltransferase"
"2.1.1.5","Betaine--homocysteine S-methyltransferase"
"2.1.1.6","Catechol O-methyltransferase"
"2.1.1.61","tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase"
"2.1.1.62","mRNA (2'-O-methyladenosine-N(6)-)-methyltransferase"
"2.1.1.63","Methylated-DNA--[protein]-cysteine S-methyltransferase"
"2.1.1.64","3-demethylubiquinol 3-O-methyltransferase"
"2.1.1.67","Thiopurine S-methyltransferase"
"2.1.1.71","Phosphatidyl-N-methylethanolamine N-methyltransferase"
"2.1.1.72","Site-specific DNA-methyltransferase (adenine-specific)"
"2.1.1.74","(NAD(P)H-oxidizing)"
"2.1.1.77","Protein-L-isoaspartate(D-aspartate) O-methyltransferase"
"2.1.1.79","Cyclopropane-fatty-acyl-phospholipid synthase"
"2.1.1.80","Protein-glutamate O-methyltransferase"
"2.1.1.86","Tetrahydromethanopterin S-methyltransferase"
"2.1.1.90","Methanol--corrinoid protein Co-methyltransferase"
"2.1.1.95","Tocopherol C-methyltransferase"
"2.1.1.96","Thioether S-methyltransferase"
"2.1.1.98","Diphthine synthase"
"2.1.2.1","Glycine hydroxymethyltransferase"
"2.1.2.10","Aminomethyltransferase"
"2.1.2.11","3-methyl-2-oxobutanoate hydroxymethyltransferase"
"2.1.2.13","UDP-4-amino-4-deoxy-L-arabinose formyltransferase"
"2.1.2.2","Phosphoribosylglycinamide formyltransferase"
"2.1.2.3","Phosphoribosylaminoimidazolecarboxamide formyltransferase"
"2.1.2.5","Glutamate formimidoyltransferase"
"2.1.2.9","Methionyl-tRNA formyltransferase"
"2.1.3.1","Methylmalonyl-CoA carboxytransferase"
"2.1.3.10","Malonyl-S-ACP:biotin-protein carboxyltransferase"
"2.1.3.11","N-succinylornithine carbamoyltransferase"
"2.1.3.15","Acetyl-CoA carboxytransferase"
"2.1.3.2","Aspartate carbamoyltransferase"
"2.1.3.3","Ornithine carbamoyltransferase"
"2.1.3.6","Putrescine carbamoyltransferase"
"2.1.3.9","N-acetylornithine carbamoyltransferase"
"2.1.4.1","Glycine amidinotransferase"
"2.10.1.1","Molybdopterin molybdotransferase"
"2.2.1.1","Transketolase"
"2.2.1.10","2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase"
"2.2.1.11","6-deoxy-5-ketofructose 1-phosphate synthase"
"2.2.1.2","Transaldolase"
"2.2.1.6","Acetolactate synthase"
"2.2.1.7","1-deoxy-D-xylulose-5-phosphate synthase"
"2.2.1.8","Fluorothreonine transaldolase"
"2.2.1.9","synthase"
"2.3.1.1","Amino-acid N-acetyltransferase"
"2.3.1.101","Formylmethanofuran--tetrahydromethanopterin N-formyltransferase"
"2.3.1.102","N(6)-hydroxylysine O-acetyltransferase"
"2.3.1.109","Arginine N-succinyltransferase"
"2.3.1.111","Mycocerosate synthase"
"2.3.1.117","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase"
"2.3.1.118","N-hydroxyarylamine O-acetyltransferase"
"2.3.1.12","Dihydrolipoyllysine-residue acetyltransferase"
"2.3.1.122","Trehalose O-mycolyltransferase"
"2.3.1.128","Transferred entry 2.3.1.267"
"2.3.1.129","Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase"
"2.3.1.15","Glycerol-3-phosphate 1-O-acyltransferase"
"2.3.1.157","Glucosamine-1-phosphate N-acetyltransferase"
"2.3.1.16","Acetyl-CoA C-acyltransferase"
"2.3.1.165","6-methylsalicylic acid synthase"
"2.3.1.168","Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase"
"2.3.1.169","CO-methylating acetyl-CoA synthase"
"2.3.1.17","Aspartate N-acetyltransferase"
"2.3.1.174","3-oxoadipyl-CoA thiolase"
"2.3.1.176","Propanoyl-CoA C-acyltransferase"
"2.3.1.178","Diaminobutyrate acetyltransferase"
"2.3.1.179","Beta-ketoacyl-[acyl-carrier-protein] synthase II"
"2.3.1.18","Galactoside O-acetyltransferase"
"2.3.1.180","Beta-ketoacyl-[acyl-carrier-protein] synthase III"
"2.3.1.181","Lipoyl(octanoyl) transferase"
"2.3.1.182","(R)-citramalate synthase"
"2.3.1.183","Phosphinothricin acetyltransferase"
"2.3.1.184","Acyl-homoserine-lactone synthase"
"2.3.1.187","Acetyl-S-ACP:malonate ACP transferase"
"2.3.1.189","Mycothiol synthase"
"2.3.1.19","Phosphate butyryltransferase"
"2.3.1.191","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase"
"2.3.1.193","tRNA(Met) cytidine acetyltransferase"
"2.3.1.194","Acetoacetyl-CoA synthase"
"2.3.1.20","Diacylglycerol O-acyltransferase"
"2.3.1.200","Lipoyl amidotransferase"
"2.3.1.201","UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase"
"2.3.1.202","UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase"
"2.3.1.203","UDP-N-acetylbacillosamine N-acetyltransferase"
"2.3.1.204","Octanoyl-[GcvH]:protein N-octanoyltransferase"
"2.3.1.207","Beta-ketodecanoyl-[acyl-carrier-protein] synthase"
"2.3.1.209","dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase"
"2.3.1.21","Carnitine O-palmitoyltransferase"
"2.3.1.210","dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase"
"2.3.1.222","Phosphate propanoyltransferase"
"2.3.1.223","3-oxo-5,6-didehydrosuberyl-CoA thiolase"
"2.3.1.228","Isovaleryl-homoserine lactone synthase"
"2.3.1.229","4-coumaroyl-homoserine lactone synthase"
"2.3.1.230","2-heptyl-4(1H)-quinolone synthase"
"2.3.1.233","1,3,6,8-tetrahydroxynaphthalene synthase"
"2.3.1.234","N(6)-L-threonylcarbamoyladenine synthase"
"2.3.1.235","Tetracenomycin F2 synthase"
"2.3.1.237","Neocarzinostatin naphthoate synthase"
"2.3.1.241","Kdo(2)-lipid IV(A) lauroyltransferase"
"2.3.1.242","Kdo(2)-lipid IV(A) palmitoleoyltransferase"
"2.3.1.243","Lauroyl-Kdo(2)-lipid IV(A) myristoyltransferase"
"2.3.1.245","3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase"
"2.3.1.246","3,5-dihydroxyphenylacetyl-CoA synthase"
"2.3.1.247","3-keto-5-aminohexanoate cleavage enzyme"
"2.3.1.251","Lipid IV(A) palmitoyltransferase"
"2.3.1.252","Mycolipanoate synthase"
"2.3.1.253","Phloroglucinol synthase"
"2.3.1.254","N-terminal methionine N(alpha)-acetyltransferase NatB"
"2.3.1.255","N-terminal amino-acid N(alpha)-acetyltransferase NatA"
"2.3.1.256","N-terminal methionine N(alpha)-acetyltransferase NatC"
"2.3.1.260","Tetracycline polyketide synthase"
"2.3.1.261","(4-hydroxyphenyl)alkanoate synthase"
"2.3.1.262","Anthraniloyl-CoA anthraniloyltransferase"
"2.3.1.263","2-amino-4-oxopentanoate thiolase"
"2.3.1.264","Beta-lysine N(6)-acetyltransferase"
"2.3.1.265","Phosphatidylinositol dimannoside acyltransferase"
"2.3.1.28","Chloramphenicol O-acetyltransferase"
"2.3.1.29","Glycine C-acetyltransferase"
"2.3.1.30","Serine O-acetyltransferase"
"2.3.1.31","Homoserine O-acetyltransferase"
"2.3.1.35","Glutamate N-acetyltransferase"
"2.3.1.37","5-aminolevulinate synthase"
"2.3.1.39","[Acyl-carrier-protein] S-malonyltransferase"
"2.3.1.4","Glucosamine-phosphate N-acetyltransferase"
"2.3.1.40","Acyl-[acyl-carrier-protein]--phospholipid O-acyltransferase"
"2.3.1.41","Beta-ketoacyl-[acyl-carrier-protein] synthase I"
"2.3.1.43","Phosphatidylcholine--sterol O-acyltransferase"
"2.3.1.46","Homoserine O-succinyltransferase"
"2.3.1.47","8-amino-7-oxononanoate synthase"
"2.3.1.48","Histone acetyltransferase"
"2.3.1.5","Arylamine N-acetyltransferase"
"2.3.1.50","Serine C-palmitoyltransferase"
"2.3.1.51","1-acylglycerol-3-phosphate O-acyltransferase"
"2.3.1.54","Formate C-acetyltransferase"
"2.3.1.57","Diamine N-acetyltransferase"
"2.3.1.59","Gentamicin 2'-N-acetyltransferase"
"2.3.1.60","Gentamicin 3-N-acetyltransferase"
"2.3.1.61","Dihydrolipoyllysine-residue succinyltransferase"
"2.3.1.7","Carnitine O-acetyltransferase"
"2.3.1.79","Maltose O-acetyltransferase"
"2.3.1.8","Phosphate acetyltransferase"
"2.3.1.80","Cysteine-S-conjugate N-acetyltransferase"
"2.3.1.81","Aminoglycoside N(3)-acetyltransferase"
"2.3.1.82","Aminoglycoside 6'-N-acetyltransferase"
"2.3.1.86","Fatty-acyl-CoA synthase system"
"2.3.1.87","Aralkylamine N-acetyltransferase"
"2.3.1.89","Tetrahydrodipicolinate N-acetyltransferase"
"2.3.1.9","Acetyl-CoA C-acetyltransferase"
"2.3.1.94","6-deoxyerythronolide-B synthase"
"2.3.1.97","Glycylpeptide N-tetradecanoyltransferase"
"2.3.2.10","UDP-N-acetylmuramoylpentapeptide-lysine N(6)-alanyltransferase"
"2.3.2.13","Protein-glutamine gamma-glutamyltransferase"
"2.3.2.15","Glutathione gamma-glutamylcysteinyltransferase"
"2.3.2.16","Lipid II:glycine glycyltransferase"
"2.3.2.17","glycyltransferase"
"2.3.2.18","glycyltransferase"
"2.3.2.2","Gamma-glutamyltransferase"
"2.3.2.21","Cyclo(L-tyrosyl-L-tyrosyl) synthase"
"2.3.2.22","Cyclo(L-leucyl-L-leucyl) synthase"
"2.3.2.23","E2 ubiquitin-conjugating enzyme"
"2.3.2.26","HECT-type E3 ubiquitin transferase"
"2.3.2.27","RING-type E3 ubiquitin transferase"
"2.3.2.29","Aspartate/glutamate leucyltransferase"
"2.3.2.3","Lysyltransferase"
"2.3.2.30","L-ornithine N(alpha)-acyltransferase"
"2.3.2.5","Glutaminyl-peptide cyclotransferase"
"2.3.2.6","Lysine/arginine leucyltransferase"
"2.3.3.1","Citrate (Si)-synthase"
"2.3.3.10","Hydroxymethylglutaryl-CoA synthase"
"2.3.3.13","2-isopropylmalate synthase"
"2.3.3.14","Homocitrate synthase"
"2.3.3.15","Sulfoacetaldehyde acetyltransferase"
"2.3.3.5","2-methylcitrate synthase"
"2.3.3.8","ATP citrate synthase"
"2.3.3.9","Malate synthase"
"2.4.1.1","Glycogen phosphorylase"
"2.4.1.10","Levansucrase"
"2.4.1.109","Dolichyl-phosphate-mannose--protein mannosyltransferase"
"2.4.1.11","Glycogen(starch) synthase"
"2.4.1.12","Cellulose synthase (UDP-forming)"
"2.4.1.122","N-acetylgalactosaminide beta-1,3-galactosyltransferase"
"2.4.1.129","Peptidoglycan glycosyltransferase"
"2.4.1.13","Sucrose synthase"
"2.4.1.14","Sucrose-phosphate synthase"
"2.4.1.141","N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase"
"2.4.1.144","Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase"
"2.4.1.15","Alpha,alpha-trehalose-phosphate synthase (UDP-forming)"
"2.4.1.152","4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase"
"2.4.1.153","N-acetylglucosaminyltransferase"
"2.4.1.161","Oligosaccharide 4-alpha-D-glucosyltransferase"
"2.4.1.166","Raffinose--raffinose alpha-galactosyltransferase"
"2.4.1.173","Sterol 3-beta-glucosyltransferase"
"2.4.1.175","acetylgalactosaminyltransferase"
"2.4.1.18","1,4-alpha-glucan branching enzyme"
"2.4.1.180","Lipopolysaccharide N-acetylmannosaminouronosyltransferase"
"2.4.1.182","Lipid-A-disaccharide synthase"
"2.4.1.183","Alpha-1,3-glucan synthase"
"2.4.1.186","Glycogenin glucosyltransferase"
"2.4.1.187","mannosaminyltransferase"
"2.4.1.19","Cyclomaltodextrin glucanotransferase"
"2.4.1.20","Cellobiose phosphorylase"
"2.4.1.208","Diglucosyl diacylglycerol synthase (1,2-linking)"
"2.4.1.21","Starch synthase"
"2.4.1.211","1,3-beta-galactosyl-N-acetylhexosamine phosphorylase"
"2.4.1.212","Hyaluronan synthase"
"2.4.1.213","Glucosylglycerol-phosphate synthase"
"2.4.1.216","Trehalose 6-phosphate phosphorylase"
"2.4.1.217","Mannosyl-3-phosphoglycerate synthase"
"2.4.1.226","N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase"
"2.4.1.227","acetylglucosaminyltransferase"
"2.4.1.229","[Skp1-protein]-hydroxyproline N-acetylglucosaminyltransferase"
"2.4.1.230","Kojibiose phosphorylase"
"2.4.1.242","NDP-glucose--starch glucosyltransferase"
"2.4.1.245","Alpha,alpha-trehalose synthase"
"2.4.1.246","Mannosylfructose-phosphate synthase"
"2.4.1.247","Beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase"
"2.4.1.25","4-alpha-glucanotransferase"
"2.4.1.250","D-inositol-3-phosphate glycosyltransferase"
"2.4.1.252","GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase"
"2.4.1.260","Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase"
"2.4.1.264","2-beta-glucuronosyltransferase"
"2.4.1.266","Glucosyl-3-phosphoglycerate synthase"
"2.4.1.268","Glucosylglycerate synthase"
"2.4.1.270","Mannosylglucosyl-3-phosphoglycerate synthase"
"2.4.1.276","Zeaxanthin glucosyltransferase"
"2.4.1.278","3-alpha-mycarosylerythronolide B desosaminyl transferase"
"2.4.1.279","Nigerose phosphorylase"
"2.4.1.280","N,N'-diacetylchitobiose phosphorylase"
"2.4.1.281","4-O-beta-D-mannosyl-D-glucose phosphorylase"
"2.4.1.287","galactofuranosyltransferase"
"2.4.1.288","decaprenol beta-1,5/1,6-galactofuranosyltransferase"
"2.4.1.289","N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase"
"2.4.1.290","acetylgalactosaminyltransferase"
"2.4.1.291","4-alpha-N-acetylgalactosaminyltransferase"
"2.4.1.292","1,4-N-acetyl-D-galactosaminyltransferase"
"2.4.1.293","GalNAc(5)-diNAcBac-PP-undecaprenol beta-1,3-glucosyltransferase"
"2.4.1.303","galactosyltransferase"
"2.4.1.305","glucosyltransferase"
"2.4.1.308","diphosphoundecaprenol alpha-1,2-fucosyltransferase"
"2.4.1.310","Vancomycin aglycone glucosyltransferase"
"2.4.1.315","Diglucosyl diacylglycerol synthase (1,6-linking)"
"2.4.1.319","Beta-1,4-mannooligosaccharide phosphorylase"
"2.4.1.320","1,4-beta-mannosyl-N-acetylglucosamine phosphorylase"
"2.4.1.321","Cellobionic acid phosphorylase"
"2.4.1.325","TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase"
"2.4.1.328","Erythronolide mycarosyltransferase"
"2.4.1.329","Sucrose 6(F)-phosphate phosphorylase"
"2.4.1.33","Mannuronan synthase"
"2.4.1.332","1,2-alpha-glucosylglycerol phosphorylase"
"2.4.1.333","1,2-beta-oligoglucan phosphorylase"
"2.4.1.336","Monoglucosyldiacylglycerol synthase"
"2.4.1.337","1,2-diacylglycerol 3-alpha-glucosyltransferase"
"2.4.1.339","Beta-1,2-mannobiose phosphorylase"
"2.4.1.34","1,3-beta-glucan synthase"
"2.4.1.340","1,2-beta-oligomannan phosphorylase"
"2.4.1.342","Alpha-maltose-1-phosphate synthase"
"2.4.1.345","Phosphatidyl-myo-inositol alpha-mannosyltransferase"
"2.4.1.346","Phosphatidyl-myo-inositol dimannoside synthase"
"2.4.1.347","Alpha,alpha-trehalose-phosphate synthase (ADP-forming)"
"2.4.1.348","3-alpha-mannosyltransferase"
"2.4.1.349","undecaprenol 3-alpha-mannosyltransferase"
"2.4.1.4","Amylosucrase"
"2.4.1.44","Lipopolysaccharide 3-alpha-galactosyltransferase"
"2.4.1.46","Monogalactosyldiacylglycerol synthase"
"2.4.1.5","Dextransucrase"
"2.4.1.50","Procollagen galactosyltransferase"
"2.4.1.52","Poly(glycerol-phosphate) alpha-glucosyltransferase"
"2.4.1.56","Lipopolysaccharide N-acetylglucosaminyltransferase"
"2.4.1.58","Lipopolysaccharide glucosyltransferase I"
"2.4.1.60","Abequosyltransferase"
"2.4.1.64","Alpha,alpha-trehalose phosphorylase"
"2.4.1.65","3-galactosyl-N-acetylglucosaminide 4-alpha-L-fucosyltransferase"
"2.4.1.66","Procollagen glucosyltransferase"
"2.4.1.7","Sucrose phosphorylase"
"2.4.1.8","Maltose phosphorylase"
"2.4.1.80","Ceramide glucosyltransferase"
"2.4.1.83","Dolichyl-phosphate beta-D-mannosyltransferase"
"2.4.1.9","Inulosucrase"
"2.4.2.1","Purine-nucleoside phosphorylase"
"2.4.2.10","Orotate phosphoribosyltransferase"
"2.4.2.12","Nicotinamide phosphoribosyltransferase"
"2.4.2.14","Amidophosphoribosyltransferase"
"2.4.2.17","ATP phosphoribosyltransferase"
"2.4.2.18","Anthranilate phosphoribosyltransferase"
"2.4.2.19","Nicotinate-nucleotide diphosphorylase (carboxylating)"
"2.4.2.2","Pyrimidine-nucleoside phosphorylase"
"2.4.2.21","Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase"
"2.4.2.22","Xanthine phosphoribosyltransferase"
"2.4.2.26","Protein xylosyltransferase"
"2.4.2.28","S-methyl-5'-thioadenosine phosphorylase"
"2.4.2.29","tRNA-guanine(34) transglycosylase"
"2.4.2.3","Uridine phosphorylase"
"2.4.2.30","NAD(+) ADP-ribosyltransferase"
"2.4.2.31","NAD(+)--protein-arginine ADP-ribosyltransferase"
"2.4.2.37","NAD(+)--dinitrogen-reductase ADP-D-ribosyltransferase"
"2.4.2.4","Thymidine phosphorylase"
"2.4.2.41","Xylogalacturonan beta-1,3-xylosyltransferase"
"2.4.2.43","Lipid IV(A) 4-amino-4-deoxy-L-arabinosyltransferase"
"2.4.2.44","S-methyl-5'-thioinosine phosphorylase"
"2.4.2.45","Decaprenyl-phosphate phosphoribosyltransferase"
"2.4.2.46","Galactan 5-O-arabinofuranosyltransferase"
"2.4.2.47","Arabinofuranan 3-O-arabinosyltransferase"
"2.4.2.48","tRNA-guanine(15) transglycosylase"
"2.4.2.52","Triphosphoribosyl-dephospho-CoA synthase"
"2.4.2.53","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase"
"2.4.2.54","Beta-ribofuranosylphenol 5'-phosphate synthase"
"2.4.2.57","AMP phosphorylase"
"2.4.2.6","Nucleoside deoxyribosyltransferase"
"2.4.2.7","Adenine phosphoribosyltransferase"
"2.4.2.8","Hypoxanthine phosphoribosyltransferase"
"2.4.2.9","Uracil phosphoribosyltransferase"
"2.4.99.12","Lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase"
"2.4.99.13","(Kdo)-lipid IV(A) 3-deoxy-D-manno-octulosonic acid transferase"
"2.4.99.14","(Kdo)(2)-lipid IV(A) (2-8) 3-deoxy-D-manno-octulosonic acid transferase"
"2.4.99.15","(Kdo)(3)-lipid IV(A) (2-4) 3-deoxy-D-manno-octulosonic acid transferase"
"2.4.99.16","Starch synthase (maltosyl-transferring)"
"2.4.99.17","S-adenosylmethionine:tRNA ribosyltransferase-isomerase"
"2.4.99.18","Dolichyl-diphosphooligosaccharide--protein glycotransferase"
"2.4.99.19","Undecaprenyl-diphosphooligosaccharide--protein glycotransferase"
"2.4.99.21","Dolichyl-phosphooligosaccharide-protein glycotransferase"
"2.5.1.1","Dimethylallyltranstransferase"
"2.5.1.10","(2E,6E)-farnesyl diphosphate synthase"
"2.5.1.101","N,N'-diacetyllegionaminate synthase"
"2.5.1.103","Presqualene diphosphate synthase"
"2.5.1.105","5'-phosphate synthase"
"2.5.1.108","2-(3-amino-3-carboxypropyl)histidine synthase"
"2.5.1.113","synthase"
"2.5.1.114","tRNA(Phe) (4-demethylwyosine(37)-C(7)) aminocarboxypropyltransferase"
"2.5.1.115","Homogentisate phytyltransferase"
"2.5.1.116","Homogentisate geranylgeranyltransferase"
"2.5.1.120","Aminodeoxyfutalosine synthase"
"2.5.1.124","6-linalyl-2-O,3-dimethylflaviolin synthase"
"2.5.1.125","7-geranyloxy-5-hydroxy-2-methoxy-3-methylnaphthalene-1,4-dione synthase"
"2.5.1.128","N(4)-bis(aminopropyl)spermidine synthase"
"2.5.1.129","Flavin prenyltransferase"
"2.5.1.131","yl)methanamine synthase"
"2.5.1.132","3-deoxy-D-glycero-D-galacto-nononate 9-phosphate synthase"
"2.5.1.133","Bacteriochlorophyll a synthase"
"2.5.1.134","Cystathionine beta-synthase (O-acetyl-L-serine)"
"2.5.1.135","Validamine 7-phosphate valienyltransferase"
"2.5.1.140","N-(2-amino-2-carboxyethyl)-L-glutamate synthase"
"2.5.1.141","Heme o synthase"
"2.5.1.15","Dihydropteroate synthase"
"2.5.1.16","Spermidine synthase"
"2.5.1.17","Corrinoid adenosyltransferase"
"2.5.1.18","Glutathione transferase"
"2.5.1.19","3-phosphoshikimate 1-carboxyvinyltransferase"
"2.5.1.2","Thiamine pyridinylase"
"2.5.1.21","Squalene synthase"
"2.5.1.26","Alkylglycerone-phosphate synthase"
"2.5.1.29","Geranylgeranyl diphosphate synthase"
"2.5.1.3","Thiamine phosphate synthase"
"2.5.1.30","Heptaprenyl diphosphate synthase"
"2.5.1.31","diphosphate specific)"
"2.5.1.32","15-cis-phytoene synthase"
"2.5.1.38","Isonocardicin synthase"
"2.5.1.39","4-hydroxybenzoate polyprenyltransferase"
"2.5.1.41","Phosphoglycerol geranylgeranyltransferase"
"2.5.1.42","Geranylgeranylglycerol-phosphate geranylgeranyltransferase"
"2.5.1.44","Homospermidine synthase"
"2.5.1.46","Deoxyhypusine synthase"
"2.5.1.47","Cysteine synthase"
"2.5.1.48","Cystathionine gamma-synthase"
"2.5.1.49","O-acetylhomoserine aminocarboxypropyltransferase"
"2.5.1.54","3-deoxy-7-phosphoheptulonate synthase"
"2.5.1.55","3-deoxy-8-phosphooctulonate synthase"
"2.5.1.56","N-acetylneuraminate synthase"
"2.5.1.57","N-acylneuraminate-9-phosphate synthase"
"2.5.1.58","Protein farnesyltransferase"
"2.5.1.6","Methionine adenosyltransferase"
"2.5.1.60","Protein geranylgeranyltransferase type II"
"2.5.1.61","Hydroxymethylbilane synthase"
"2.5.1.62","Chlorophyll synthase"
"2.5.1.66","N(2)-(2-carboxyethyl)arginine synthase"
"2.5.1.68","(2Z,6E)-farnesyl diphosphate synthase"
"2.5.1.7","UDP-N-acetylglucosamine 1-carboxyvinyltransferase"
"2.5.1.72","Quinolinate synthase"
"2.5.1.73","O-phospho-L-seryl-tRNA:Cys-tRNA synthase"
"2.5.1.74","1,4-dihydroxy-2-naphthoate polyprenyltransferase"
"2.5.1.75","tRNA dimethylallyltransferase"
"2.5.1.76","Cysteate synthase"
"2.5.1.77","Transferred entry 2.5.1.147"
"2.5.1.78","6,7-dimethyl-8-ribityllumazine synthase"
"2.5.1.83","Hexaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)"
"2.5.1.84","All-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific)"
"2.5.1.85","specific)"
"2.5.1.86","Trans,polycis-decaprenyl diphosphate synthase"
"2.5.1.88","diphosphate specific)"
"2.5.1.89","diphosphate specific)"
"2.5.1.9","Riboflavin synthase"
"2.5.1.90","All-trans-octaprenyl-diphosphate synthase"
